Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT00006","AANAT","None","aralkylamine N-acetyltransferase","Serotonin N-acetyltransferase","ENSG00000129673","Q16613","0.00448309","0.0346571","1.0","By_ingredient","0.2239"
"SMTT00049","ACE","17","Angiotensin I Converting Enzyme","Angiotensin-converting Enzyme","ENSG00000159640","P12821","0.00845249","0.0444644","1.0","By_ingredient","0.2209"
"SMTT00050","ACE2","None","angiotensin I converting enzyme 2","Angiotensin-converting Enzyme 2","ENSG00000130234","Q9BYF1","0.00398589","0.032859","1.0","By_ingredient","0.2225"
"SMTT00052","ACO2","22","Aconitase 2","Aconitate Hydratase, Mitochondrial","ENSG00000100412","Q99798","0.0029908","0.0293845","1.0","By_ingredient","0.2281"
"SMTT00057","ACSF3","16","Acyl-CoA Synthetase Family Member 3","None","ENSG00000176715","None","0.000997851","0.015591","1.0","By_ingredient","0.2473"
"SMTT00058","ACSL1","None","acyl-CoA synthetase long chain family member 1","Long-chain-fatty-acid--CoA Ligase 1","ENSG00000151726","P33121","0.00845249","0.0444644","1.0","By_ingredient","0.1715"
"SMTT00059","ACSL4","X","Acyl-CoA Synthetase Long Chain Family Member 4","Long-chain-fatty-acid--CoA Ligase 4","ENSG00000068366","O60488","0.00746151","0.0425888","1.0","By_ingredient","0.1873"
"SMTT00069","ACVR1","2","Activin A Receptor Type 1","Activin Receptor Type-1","ENSG00000115170","Q04771","0.00149643","0.0199814","1.0","By_ingredient","0.2347"
"SMTT00076","ADAM17","2","ADAM Metallopeptidase Domain 17","Disintegrin And Metalloproteinase Domain-containing Protein 17","ENSG00000151694","P78536","0.00547682","0.0378448","1.0","By_ingredient","0.2045"
"SMTT00098","ADK","10","Adenosine Kinase","Adenosine Kinase","ENSG00000156110","P55263","0.00547682","0.0378448","1.0","By_ingredient","0.202"
"SMTT00108","ADSL","22","Adenylosuccinate Lyase","None","ENSG00000239900","None","0.00149643","0.0199814","1.0","By_ingredient","0.2536"
"SMTT00114","AGBL1","15","ATP/GTP Binding Protein Like 1","None","ENSG00000273540","None","0.00398589","0.032859","1.0","By_ingredient","0.2367"
"SMTT00115","AGBL5","2","ATP/GTP Binding Protein Like 5","None","ENSG00000084693","None","0.00398589","0.032859","1.0","By_ingredient","0.236"
"SMTT00125","AGXT","2","Alanine--glyoxylate And Serine--pyruvate Aminotransferase","Serine--pyruvate Aminotransferase","ENSG00000172482","P21549","0.0197833","0.0608915","1.0","By_ingredient","0.1776"
