Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value,"간경변 (Liver Cirrhosis, Experimental)",조현병 (Schizophrenia),"실험적 당뇨병 (Diabetes Mellitus, Experimental)"
SMTT02777,PTGS2,None,prostaglandin-endoperoxide synthase 2,Prostaglandin G/H Synthase 2,ENSG00000073756,P35354,0.0473402,0.0887425,1,By_ingredient,9.5987,,,
SMTT01141,ESR1,6,Estrogen Receptor 1,Estrogen Receptor,ENSG00000091831,P03372,0.946375,0.954824,1,By_ingredient,7.9848,,,
SMTT00244,AR,X,Androgen Receptor,Androgen Receptor,ENSG00000169083,P10275,0.999283,0.99986,1,By_ingredient,7.7589,,,
SMTT02747,PRSS1,7,Serine Protease 1,Trypsin-1,ENSG00000204983,P07477,0.989846,0.992397,1,By_ingredient,7.0768,,,
SMTT00436,CA2,8,Carbonic Anhydrase 2,Carbonic Anhydrase 2,ENSG00000104267,P00918,0.015673,0.0561623,1,By_ingredient,6.6235,,,
SMTT02349,NOS2,None,nitric oxide synthase 2,"Nitric Oxide Synthase, Inducible",ENSG00000007171,P35228,0.0269173,0.0689739,1,By_ingredient,6.5505,,,
SMTT02776,PTGS1,None,prostaglandin-endoperoxide synthase 1,Prostaglandin G/H Synthase 1,ENSG00000095303,P23219,0.0161883,0.0568637,1,By_ingredient,6.1462,,,
SMTT00051,ACHE,None,acetylcholinesterase (Cartwright blood group),Acetylcholinesterase,ENSG00000087085,P22303,0.975919,0.980557,1,By_ingredient,5.3495,,,
SMTT06122,DPEP1,None,dipeptidase 1,None,ENSG00000015413,None,0.000491515,0.00991468,1,By_ingredient,4.675,,,
SMTT00569,CDK2,None,cyclin dependent kinase 2,Cyclin-dependent Kinase 2,ENSG00000123374,P24941,0.0335613,0.0752792,1,By_ingredient,4.6226,,,
SMTT02681,PPARG,3,Peroxisome Proliferator Activated Receptor Gamma,Peroxisome Proliferator-activated Receptor Gamma,ENSG00000132170,P37231,0.0327578,0.0619252,1,By_ingredient,4.2015,,,
SMTT08542,NCOA2,None,nuclear receptor coactivator 2,None,ENSG00000140396,None,0.0128659,0.051746,1,By_ingredient,4.1342,,,
SMTT08093,MAPK14,None,mitogen-activated protein kinase 14,None,ENSG00000112062,None,0.0198579,0.0610231,1,By_ingredient,3.64,,,
SMTT01483,GSK3B,None,glycogen synthase kinase 3 beta,Glycogen Synthase Kinase-3 Beta,ENSG00000082701,P49841,0.897809,0.910972,1,By_ingredient,3.5227,,,
SMTT00520,CCNA2,None,cyclin A2,Cyclin-A2,ENSG00000145386,P20248,0.973413,0.978417,1,By_ingredient,3.4693,,,
SMTT00636,CHRM1,None,cholinergic receptor muscarinic 1,Muscarinic Acetylcholine Receptor M1,ENSG00000168539,P11229,0.688525,0.715702,1,By_ingredient,2.9201,,,
SMTT02969,RXRA,None,retinoid X receptor alpha,Retinoic Acid Receptor RXR-alpha,ENSG00000186350,P19793,0.573445,0.604469,1,By_ingredient,2.8832,,,
SMTT01142,ESR2,None,estrogen receptor 2,Estrogen Receptor Beta,ENSG00000140009,Q92731,0.978837,0.983132,1,By_ingredient,2.8647,,,
SMTT02025,MAOB,None,monoamine oxidase B,Amine Oxidase [flavin-containing] B,ENSG00000069535,P27338,0.279934,0.309559,1,By_ingredient,2.3016,,,
SMTT00106,ADRB2,None,adrenoceptor beta 2,Beta-2 Adrenergic Receptor,ENSG00000169252,P07550,0.948976,0.95713,1,By_ingredient,2.0275,,,
SMTT00480,CASP3,None,caspase 3,Caspase-3,ENSG00000164305,P42574,0.000600382,0.0113293,1,By_ingredient,1.9872,,,
SMTT02550,PGR,11,Progesterone Receptor,Progesterone Receptor,ENSG00000082175,P06401,0.0938819,0.118582,1,By_ingredient,1.8098,,,
SMTT09518,PRSS3,None,serine protease 3,None,ENSG00000010438,None,0.0192717,0.0603535,1,By_ingredient,1.6527,,,
SMTT03193,SLC6A2,16,Solute Carrier Family 6 Member 2,Sodium-dependent Noradrenaline Transporter,ENSG00000103546,P23975,0.424667,0.4567,1,By_ingredient,1.6149,,,
SMTT03502,TNF,None,tumor necrosis factor,Tumor Necrosis Factor,ENSG00000232810,P01375,5.10E-05,0.000917626,1,By_ingredient,1.5782,1,,1
SMTT02865,RELA,None,"RELA proto-oncogene, NF-kB subunit",Transcription Factor P65,ENSG00000173039,Q04206,2.96E-05,0.000619476,1,By_ingredient,1.5725,,,
SMTT00361,BCL2,18,"BCL2, Apoptosis Regulator",Apoptosis Regulator Bcl-2,ENSG00000171791,P10415,9.78E-06,0.000277393,0.864356,By_ingredient,1.4941,,,
SMTT03196,SLC6A4,None,solute carrier family 6 member 4,Sodium-dependent Serotonin Transporter,ENSG00000108576,P31645,0.690013,0.717055,1,By_ingredient,1.4238,,,
SMTT01638,ICAM1,None,intercellular adhesion molecule 1,Intercellular Adhesion Molecule 1,ENSG00000090339,P05362,1.24E-05,0.000688224,1,By_ingredient,1.3531,,,
SMTT01671,IGHG1,None,immunoglobulin heavy constant gamma 1 (G1m marker),Ig Gamma-1 Chain C Region,None,P01857,0.19046,0.217881,1,By_ingredient,1.3417,,,
SMTT00356,BCHE,None,butyrylcholinesterase,Cholinesterase,ENSG00000114200,P06276,0.135753,0.161688,1,By_ingredient,1.324,,,
SMTT03877,BAX,19,"BCL2 Associated X, Apoptosis Regulator",None,ENSG00000087088,Q07812,0.00361127,0.0318065,1,By_ingredient,1.1844,,,
SMTT05824,CTRB1,None,chymotrypsinogen B1,None,ENSG00000168925,None,0.00358877,0.0317058,1,By_ingredient,1.0755,,,
SMTT00102,ADRA1A,None,adrenoceptor alpha 1A,Alpha-1A Adrenergic Receptor,ENSG00000120907,P35348,0.658171,0.686759,1,By_ingredient,1.0136,,,
SMTT01202,FASN,None,fatty acid synthase,Fatty Acid Synthase,ENSG00000169710,P49327,0.00113654,0.0169993,1,By_ingredient,0.9796,,,
SMTT02380,NR3C2,4,Nuclear Receptor Subfamily 3 Group C Member 2,Mineralocorticoid Receptor,ENSG00000151623,P08235,0.857627,0.874275,1,By_ingredient,0.9687,,,
SMTT03918,CASP9,1,Caspase 9,None,ENSG00000132906,P55211,0.0182913,0.0591417,1,By_ingredient,0.9658,,,
SMTT01778,JUN,None,"Jun proto-oncogene, AP-1 transcription factor subunit",Transcription Factor AP-1,ENSG00000177606,P05412,0.000777891,0.00606926,1,By_ingredient,0.9524,,,
SMTT01712,IL6,7,Interleukin 6,Interleukin-6,ENSG00000136244,P05231,0.11914,0.144723,1,By_ingredient,0.9268,1,,
SMTT00461,CALM3,19,Calmodulin 3,None,ENSG00000160014,None,0.980849,0.984917,1,By_ingredient,0.9182,,,
SMTT03005,SCN5A,3,Sodium Voltage-gated Channel Alpha Subunit 5,Sodium Channel Protein Type 5 Subunit Alpha,ENSG00000183873,Q14524,0.999392,0.999946,1,By_ingredient,0.8878,,,
SMTT00144,AKT1,14,AKT Serine/threonine Kinase 1,RAC-alpha Serine/threonine-protein Kinase,ENSG00000142208,P31749,0.0224761,0.0646429,1,By_ingredient,0.864,,,
SMTT02024,MAOA,X,Monoamine Oxidase A,Amine Oxidase [flavin-containing] A,ENSG00000189221,P21397,0.151875,0.178034,1,By_ingredient,0.7558,,,
SMTT02251,NCOA1,None,nuclear receptor coactivator 1,Nuclear Receptor Coactivator 1,ENSG00000084676,Q15788,0.987984,0.990899,1,By_ingredient,0.7449,,,
SMTT02603,PLAT,8,"Plasminogen Activator, Tissue Type",Tissue-type Plasminogen Activator,ENSG00000104368,P00750,0.0136733,0.0532257,1,By_ingredient,0.7308,,,
SMTT01569,HMOX1,22,Heme Oxygenase 1,Heme Oxygenase 1,ENSG00000100292,P09601,0.00285682,0.0144382,1,By_ingredient,0.7213,,,
SMTT02604,PLAU,10,"Plasminogen Activator, Urokinase",Urokinase-type Plasminogen Activator,ENSG00000122861,P00749,0.0283924,0.0706379,1,By_ingredient,0.7196,,,
SMTT05439,CELA3A,None,chymotrypsin like elastase family member 3A,None,ENSG00000142789,None,0.0283924,0.0706379,1,By_ingredient,0.708,,,
SMTT01491,GSTP1,None,glutathione S-transferase pi 1,Glutathione S-transferase P,ENSG00000084207,P09211,0.000206721,0.00242436,1,By_ingredient,0.6816,,,
SMTT03530,TP53,17,Tumor Protein P53,Cellular Tumor Antigen P53,ENSG00000141510,P04637,0.0986703,0.123562,1,By_ingredient,0.6797,,,
SMTT00487,CAT,11,Catalase,Catalase,ENSG00000121691,P04040,0.0168931,0.0355548,1,By_ingredient,0.6704,,,
SMTT00175,ALOX5,None,arachidonate 5-lipoxygenase,Arachidonate 5-lipoxygenase,ENSG00000012779,P09917,0.00387389,0.0167014,1,By_ingredient,0.6675,,,
SMTT03195,SLC6A3,5,Solute Carrier Family 6 Member 3,Sodium-dependent Dopamine Transporter,ENSG00000142319,Q01959,0.894347,0.907907,1,By_ingredient,0.64,,,
SMTT00748,COMT,22,Catechol-O-methyltransferase,Catechol O-methyltransferase,ENSG00000093010,P21964,0.00170815,0.0218395,1,By_ingredient,0.612,,1,
SMTT04237,PLB1,2,Phospholipase B1,None,ENSG00000163803,Q6P1J6,0.073208,0.0970995,1,By_ingredient,0.6084,,,
SMTT09461,PRKAA1,None,protein kinase AMP-activated catalytic subunit alpha 1,None,ENSG00000132356,None,0.00371081,0.0321265,1,By_ingredient,0.6024,,,
SMTT01168,F2,11,"Coagulation Factor II, Thrombin",Prothrombin,ENSG00000180210,P00734,0.0417875,0.0637458,1,By_ingredient,0.6015,,,
SMTT09462,PRKAA2,None,protein kinase AMP-activated catalytic subunit alpha 2,None,ENSG00000162409,None,0.00407701,0.033224,1,By_ingredient,0.5981,,,
SMTT00883,CYP3A4,None,cytochrome P450 family 3 subfamily A member 4,Cytochrome P450 3A4,ENSG00000160868,P08684,0.281826,0.311464,1,By_ingredient,0.597,,,
SMTT09217,PLA2G1B,None,phospholipase A2 group IB,None,ENSG00000170890,None,0.020783,0.0623234,1,By_ingredient,0.5867,,,
SMTT01682,IL10,1,Interleukin 10,Interleukin-10,ENSG00000136634,P22301,0.0187866,0.0378837,1,By_ingredient,0.5822,,,
SMTT02374,NR1I2,None,nuclear receptor subfamily 1 group I member 2,Nuclear Receptor Subfamily 1 Group I Member 2,ENSG00000144852,O75469,0.0424439,0.0839726,1,By_ingredient,0.5816,,,
SMTT09220,PLA2G2E,None,phospholipase A2 group IIE,None,ENSG00000188784,None,0.0282406,0.0705667,1,By_ingredient,0.5773,,,
SMTT00194,AMY2A,None,"amylase, alpha 2A (pancreatic)",Pancreatic Alpha-amylase,ENSG00000243480,P04746,0.00136121,0.00903115,1,By_ingredient,0.5576,,,
SMTT00139,AKR1B1,None,aldo-keto reductase family 1 member B,Aldose Reductase,ENSG00000085662,P15121,0.0584111,0.0815038,1,By_ingredient,0.5448,,,
SMTT03927,HAS2,8,Hyaluronan Synthase 2,None,ENSG00000170961,Q92819,0.000376336,0.00823213,1,By_ingredient,0.5443,,,
SMTT04106,AHSA1,14,Activator Of HSP90 ATPase Activity 1,None,ENSG00000100591,O95433,0.00575725,0.0387285,1,By_ingredient,0.5433,,,
SMTT03256,SOD1,21,Superoxide Dismutase 1,Superoxide Dismutase [Cu-Zn],ENSG00000142168,P00441,0.0793513,0.103381,1,By_ingredient,0.539,,,
SMTT01700,IL2,None,interleukin 2,Interleukin-2,ENSG00000109471,P60568,0.0238271,0.0469174,1,By_ingredient,0.5383,,,
SMTT01272,FOS,14,"Fos Proto-oncogene, AP-1 Transcription Factor Subunit",Proto-oncogene C-Fos,ENSG00000170345,P01100,0.0106472,0.0275272,1,By_ingredient,0.5367,,,
SMTT02312,NFKB1,4,Nuclear Factor Kappa B Subunit 1,Nuclear Factor NF-kappa-B P105 Subunit,ENSG00000109320,P19838,0.0417875,0.0637458,1,By_ingredient,0.5351,,,
SMTT03764,XDH,2,Xanthine Dehydrogenase,Xanthine Dehydrogenase/oxidase,ENSG00000158125,P47989,0.0113385,0.0284225,1,By_ingredient,0.5298,,,
SMTT02033,MAPK1,22,Mitogen-activated Protein Kinase 1,Mitogen-activated Protein Kinase 1,ENSG00000100030,P28482,0.354638,0.385897,1,By_ingredient,0.5133,,,
SMTT01348,GATM,15,Glycine Amidinotransferase,"Glycine Amidinotransferase, Mitochondrial",ENSG00000171766,P50440,0.105417,0.130543,1,By_ingredient,0.5051,,,
SMTT02668,PON1,7,Paraoxonase 1,Serum Paraoxonase/arylesterase 1,ENSG00000005421,P27169,9.44E-05,0.00140126,1,By_ingredient,0.5036,,,
SMTT03701,VCAM1,None,vascular cell adhesion molecule 1,Vascular Cell Adhesion Protein 1,ENSG00000162692,P19320,0.014566,0.0544806,1,By_ingredient,0.5028,,,
SMTT03304,SREBF1,None,sterol regulatory element binding transcription factor 1,Sterol Regulatory Element-binding Protein 1,ENSG00000072310,P36956,0.00779698,0.0434898,1,By_ingredient,0.5017,,,
SMTT00865,CYP1A1,None,cytochrome P450 family 1 subfamily A member 1,Cytochrome P450 1A1,ENSG00000140465,P04798,0.00285682,0.0144382,1,By_ingredient,0.4951,,,
SMTT02615,PLG,6,Plasminogen,Plasminogen,ENSG00000122194,P00747,0.0417875,0.0637458,1,By_ingredient,0.4897,,,
SMTT00482,CASP8,2,Caspase 8,Caspase-8,ENSG00000064012,Q14790,0.27411,0.303532,1,By_ingredient,0.4828,,,
SMTT11385,TPSAB1,None,tryptase alpha/beta 1,None,ENSG00000172236,None,0.0382734,0.0798821,1,By_ingredient,0.4818,,,
SMTT01803,KCNH2,7,Potassium Voltage-gated Channel Subfamily H Member 2,Potassium Voltage-gated Channel Subfamily H Member 2,ENSG00000055118,Q12809,0.841455,0.859415,1,By_ingredient,0.4809,,,
SMTT00105,ADRB1,None,adrenoceptor beta 1,Beta-1 Adrenergic Receptor,ENSG00000043591,P08588,0.74881,0.77284,1,By_ingredient,0.477,,,
SMTT07300,HSPA4,None,heat shock protein family A (Hsp70) member 4,None,ENSG00000170606,None,0.0299403,0.0718632,1,By_ingredient,0.4615,,,
SMTT00477,CASP1,None,caspase 1,Caspase-1,ENSG00000137752,P29466,0.0278257,0.07006,1,By_ingredient,0.4297,,,
SMTT01464,GRIA2,None,glutamate ionotropic receptor AMPA type subunit 2,Glutamate Receptor 2,ENSG00000120251,P42262,0.952767,0.960308,1,By_ingredient,0.4268,,,
